#   E  nblk  nmax |  ladder_prep  ladder_eval    kam01 |   max|ladder-kam01|
    0     1     1 |       0.000       0.000       0.000 |     0.000E+00
    1     1     2 |       0.000       0.000       0.000 |     2.220E-16
    2     3     3 |       0.000       0.000       0.000 |     1.776E-15
    3     3     6 |       0.000       0.000       0.000 |     1.554E-15
    4     5     9 |       0.000       0.000       0.000 |     1.665E-15
    5     5    12 |       0.000       0.000       0.000 |     2.720E-15
    6     7    18 |       0.000       0.000       0.000 |     4.538E-15
    7     7    24 |       0.000       0.000       0.001 |     6.217E-15
    8     9    30 |       0.000       0.000       0.003 |     1.696E-14
    9     9    40 |       0.000       0.000       0.006 |     2.751E-14
   10    11    50 |       0.000       0.000       0.014 |     3.680E-14
   11    11    60 |       0.001       0.001       0.029 |     4.036E-14
   12    13    75 |       0.001       0.001       0.058 |     4.186E-14
   13    13    90 |       0.001       0.002       0.112 |     6.360E-14
   14    15   105 |       0.002       0.002       0.208 |     1.326E-13
   15    15   126 |       0.003       0.003       0.379 |     1.216E-13
   16    17   147 |       0.004       0.004       0.672 |     1.674E-13
   17    17   168 |       0.005       0.006       1.150 |     2.423E-13
   18    19   196 |       0.008       0.008       1.948 |     5.461E-13
   19    19   224 |       0.010       0.010       3.233 |     1.269E-12
   20    21   252 |       0.014       0.013       5.240 |     6.879E-13
   21    21   288 |       0.017       0.018       8.413 |     1.480E-12
   22    23   324 |       0.024       0.023      13.264 |     1.170E-12
   23    23   360 |       0.029       0.029      20.552 |     4.010E-12
   24    25   405 |       0.039       0.036      31.341 |     2.641E-12
   25    25   450 |       0.048       0.046      47.133 |     7.725E-12
   26    27   495 |       0.063       0.058      70.150 |     2.036E-11
   27    27   550 |       0.075       0.073     103.336 |     3.688E-11
   28    29   605 |       0.101       0.089     150.411 |     1.342E-11
   29    29   660 |       0.121       0.111     216.930 |     1.186E-10
   30    31   726 |       0.158       0.138     309.646 |     7.871E-11
   31    31   792 |       0.182       0.167     427.481 |     3.884E-10
   32    33   858 |       0.239       0.205     599.951 |     7.234E-11
