#   E  nblk  nmax |  prepA   evalA   prepB   evalB |   orthoA      orthoB       |A-B|
    0     1     1 |   0.000   0.000   0.000   0.000 |   0.000E+00   0.000E+00   0.000E+00
    1     1     2 |   0.000   0.000   0.000   0.000 |   1.110E-16   1.110E-16   0.000E+00
    2     3     3 |   0.000   0.000   0.000   0.000 |   2.220E-16   1.394E-13   6.972E-14
    3     3     6 |   0.000   0.000   0.000   0.000 |   4.441E-16   1.431E-13   6.217E-14
    4     5     9 |   0.000   0.000   0.000   0.000 |   1.332E-15   1.448E-13   5.451E-14
    5     5    12 |   0.000   0.000   0.000   0.000 |   1.443E-15   1.446E-13   4.696E-14
    6     7    18 |   0.000   0.000   0.000   0.000 |   1.887E-15   1.473E-13   4.774E-14
    7     7    24 |   0.000   0.000   0.000   0.000 |   2.442E-15   1.467E-13   3.930E-14
    8     9    30 |   0.000   0.000   0.000   0.000 |   1.465E-14   2.190E-13   5.768E-14
    9     9    40 |   0.000   0.000   0.001   0.000 |   3.397E-14   3.504E-13   1.008E-13
   10    11    50 |   0.000   0.000   0.001   0.000 |   1.372E-13   2.820E-12   7.148E-13
   11    11    60 |   0.001   0.001   0.002   0.001 |   6.073E-14   5.866E-12   1.384E-12
   12    13    75 |   0.001   0.001   0.004   0.001 |   6.373E-14   4.138E-11   1.098E-11
   13    13    90 |   0.001   0.002   0.006   0.002 |   2.138E-13   1.253E-10   3.177E-11
   14    15   105 |   0.002   0.002   0.009   0.002 |   4.829E-14   8.718E-10   1.992E-10
   15    15   126 |   0.003   0.003   0.014   0.003 |   4.785E-13   2.284E-09   4.792E-10
   16    17   147 |   0.004   0.004   0.021   0.004 |   1.104E-13   8.655E-09   1.714E-09
   17    17   168 |   0.005   0.006   0.031   0.006 |   3.719E-13   1.466E-08   2.966E-09
   18    19   196 |   0.008   0.008   0.046   0.008 |   1.320E-12   4.702E-08   1.023E-08
   19    19   224 |   0.010   0.011   0.067   0.011 |   4.473E-13   4.231E-07   8.801E-08
   20    21   252 |   0.014   0.013   0.094   0.014 |   1.157E-12   2.691E-06   5.061E-07
   21    21   288 |   0.017   0.018   0.132   0.018 |   5.317E-12   1.354E-05   2.438E-06
   22    23   324 |   0.024   0.023   0.183   0.023 |   1.332E-12   6.148E-05   1.117E-05
   23    23   360 |   0.029   0.029   0.249   0.030 |   9.566E-12   2.490E-04   4.566E-05
   24    25   405 |   0.039   0.038   0.339   0.037 |   4.950E-12   8.996E-04   1.634E-04
   25    25   450 |   0.047   0.046   0.452   0.048 |   2.461E-11   2.834E-03   5.029E-04
   26    27   495 |   0.063   0.060   0.600   0.060 |   6.921E-11   7.201E-03   1.215E-03
   27    27   550 |   0.075   0.075   0.788   0.074 |   1.361E-10   1.718E-02   3.201E-03
   28    29   605 |   0.100   0.092   1.025   0.093 |   3.276E-11   5.348E-02   9.777E-03
   29    29   660 |   0.121   0.117   1.335   0.115 |   4.287E-10   8.597E-01   1.291E-01
   30    31   726 |   0.159   0.142   1.730   0.144 |   1.540E-10   1.463E+00   0.000E+00
   31    31   792 |   0.186   0.177   2.200   0.179 |   1.471E-09   3.431E-01   0.000E+00
   32    33   858 |   0.246   0.219   2.811   0.218 |   2.802E-10   3.463E-01   0.000E+00
   33    33   936 |   0.287   0.270   3.561   0.271 |   5.088E-09   3.603E-01   0.000E+00
   34    35  1014 |   0.372   0.329   4.435   0.328 |   4.923E-09   5.193E-01   0.000E+00
   35    35  1092 |   0.428   0.399   5.500   0.396 |   4.402E-09   5.256E-01   0.000E+00
   36    37  1183 |   0.545   0.484   6.828   0.481 |   1.997E-08   6.845E-01   0.000E+00
   37    37  1274 |   0.619   0.574   8.374   0.581 |   1.706E-08   8.284E-01   0.000E+00
   38    39  1365 |   0.810   0.705  10.429   0.712 |   2.726E-08   9.018E-01   0.000E+00
   39    39  1470 |   0.917   0.876  12.881   0.875 |   3.203E-08   9.041E-01   0.000E+00
   40    41  1575 |   1.169   1.086  15.690   1.073 |   2.656E-08   9.475E-01   0.000E+00
   41    41  1680 |   1.296   1.314  18.883   1.287 |   4.039E-08   9.790E-01   0.000E+00
   42    43  1800 |   1.624   1.557  22.815   1.562 |   6.487E-08   9.895E-01   0.000E+00
   43    43  1920 |   1.834   1.983  27.468   1.925 |   6.639E-08   9.900E-01   0.000E+00
   44    45  2040 |   2.285   2.293  32.881   2.300 |   3.736E-07   9.952E-01   0.000E+00
   45    45  2176 |   2.559   2.879  39.171   2.814 |   6.626E-07   9.954E-01   0.000E+00
   46    47  2312 |   3.201   3.641  46.866   3.486 |   4.632E-07   9.993E-01   0.000E+00
   47    47  2448 |   3.489   4.119  54.937   4.239 |   1.448E-06   9.994E-01   0.000E+00
   48    49  2601 |   4.322   5.065  64.420   4.590 |   9.531E-07   9.997E-01   0.000E+00
   49    49  2754 |   4.764   6.145  76.131   5.570 |   3.260E-07   9.997E-01   0.000E+00
   50    51  2907 |   5.867   7.148  89.605   7.202 |   1.832E-06   9.999E-01   0.000E+00
